rgn_id,sciname,category
1,Alopias vulpinus,VU
1,Balaenoptera musculus,EN
1,Carcharhinus perezi,NT
1,Caretta caretta,EN
1,Chelonia mydas,EN
1,Dermochelys coriacea,LC
1,Dermochelys coriacea,VU
1,Dermochelys coriacea,CR
1,Eretmochelys imbricata,CR
1,Galeocerdo cuvier,NT
1,Isurus oxyrinchus,VU
1,Isurus oxyrinchus,VU
1,Lepidochelys olivacea,VU
1,Megaptera novaeangliae,LC
1,Prionace glauca,NT
1,Rhincodon typus,VU
2,Alopias vulpinus,VU
2,Balaenoptera musculus,EN
2,Carcharhinus perezi,NT
2,Caretta caretta,EN
2,Chelonia mydas,EN
2,Dermochelys coriacea,LC
2,Dermochelys coriacea,VU
2,Dermochelys coriacea,CR
2,Eretmochelys imbricata,CR
2,Galeocerdo cuvier,NT
2,Isurus oxyrinchus,VU
2,Isurus oxyrinchus,VU
2,Lepidochelys olivacea,VU
2,Megaptera novaeangliae,LC
2,Prionace glauca,NT
2,Rhincodon typus,VU
3,Alopias vulpinus,VU
3,Balaenoptera musculus,EN
3,Carcharhinus perezi,NT
3,Caretta caretta,EN
3,Chelonia mydas,EN
3,Dermochelys coriacea,LC
3,Dermochelys coriacea,VU
3,Dermochelys coriacea,CR
3,Eretmochelys imbricata,CR
3,Galeocerdo cuvier,NT
3,Isurus oxyrinchus,VU
3,Isurus oxyrinchus,VU
3,Lepidochelys olivacea,VU
3,Megaptera novaeangliae,LC
3,Prionace glauca,NT
3,Rhincodon typus,VU
