rgn_id,sector,year,value
1,mmw,1998,0
1,mmw,2006,11.49
1,tour,2005,76082.0820738
1,tour,2006,79745.1829072
1,tour,2007,78372.452656
1,tour,2008,73359.003043
1,tour,2009,72247.3899591
1,tour,2010,71188.0003087
2,mmw,1998,0
2,mmw,2006,11.49
2,tour,2005,76082.0820738
2,tour,2006,79745.1829072
2,tour,2007,78372.452656
2,tour,2008,73359.003043
2,tour,2009,72247.3899591
2,tour,2010,71188.0003087
3,mmw,1998,0
3,mmw,2006,11.49
3,tour,2005,76082.0820738
3,tour,2006,79745.1829072
3,tour,2007,78372.452656
3,tour,2008,73359.003043
3,tour,2009,72247.3899591
3,tour,2010,71188.0003087
