"rgn_id","year","jobs"
1,1990,560689
1,1991,575580
1,1992,589700
1,1993,605220
1,1994,635946
1,1995,668898
1,1996,703001
1,1997,738282
1,1998,774711
1,1999,813518
1,2000,852111
1,2001,890371
1,2002,930970
1,2003,971216
1,2004,963609
1,2005,978481
1,2006,969299
1,2007,977392
1,2008,1.00535e+06
1,2009,1.06385e+06
1,2010,1.09115e+06
1,2011,1.11349e+06
1,2012,1.13568e+06
2,1990,116406
2,1991,119498
2,1992,122429
2,1993,125651
2,1994,132030
2,1995,138871
2,1996,145952
2,1997,153276
2,1998,160840
2,1999,168896
2,2000,176909
2,2001,184852
2,2002,193281
2,2003,201636
2,2004,200057
2,2005,203145
2,2006,201238
2,2007,202918
2,2008,208723
2,2009,220868
2,2010,226535
2,2011,231175
2,2012,235781
3,1990,496037
3,1991,509211
3,1992,521703
3,1993,535433
3,1994,562616
3,1995,591768
3,1996,621939
3,1997,653152
3,1998,685380
3,1999,719713
3,2000,753855
3,2001,787703
3,2002,823621
3,2003,859226
3,2004,852496
3,2005,865653
3,2006,857531
3,2007,864690
3,2008,889426
3,2009,941179
3,2010,965327
3,2011,985096
3,2012,1.00472e+06
