"rgn_id","component","value"
5,"livelihood",0.182438938324648
9,"livelihood",0.182438938324648
8,"livelihood",0.182438938324648
2,"livelihood",0.182438938324648
4,"livelihood",0.182438938324648
6,"livelihood",0.182438938324648
12,"livelihood",0.182438938324648
10,"livelihood",0.182438938324648
1,"livelihood",0.182438938324648
11,"livelihood",0.182438938324648
7,"livelihood",0.182438938324648
3,"livelihood",0.182438938324648
5,"economy",-0.875592330169015
9,"economy",-0.875592330169015
8,"economy",-0.875592330169015
2,"economy",-0.875592330169015
4,"economy",-0.875592330169015
6,"economy",-0.875592330169015
12,"economy",-0.875592330169015
10,"economy",-0.875592330169015
1,"economy",-0.875592330169015
11,"economy",-0.875592330169015
7,"economy",-0.875592330169015
3,"economy",-0.875592330169015
