rgn_id,year,a_prot_3nm
1,2000,1426.25
1,2001,1426.25
1,2002,1429
1,2003,1429
1,2004,1429
1,2005,1429
1,2006,1458.5
1,2007,1458.5
1,2008,1470.5
1,2009,1516
1,2010,1788
1,2011,1792.75
1,2012,1795.5
1,2013,1875
1,2014,1986
1,2015,1986
2,2000,1426.25
2,2001,1426.25
2,2002,1429
2,2003,1429
2,2004,1429
2,2005,1429
2,2006,1458.5
2,2007,1458.5
2,2008,1470.5
2,2009,1516
2,2010,1788
2,2011,1792.75
2,2012,1795.5
2,2013,1875
2,2014,1986
2,2015,1986
3,2000,1426.25
3,2001,1426.25
3,2002,1429
3,2003,1429
3,2004,1429
3,2005,1429
3,2006,1458.5
3,2007,1458.5
3,2008,1470.5
3,2009,1516
3,2010,1788
3,2011,1792.75
3,2012,1795.5
3,2013,1875
3,2014,1986
3,2015,1986
