rgn_id,year,popsum
1,2005,233654.824442816
2,2005,49295.3186514479
3,2005,215495.412346763
4,2005,121499.714852001
5,2005,229131.847351831
6,2005,257375.464775584
7,2005,244753.223255739
8,2005,931846.389445915
9,2005,2074507.05374023
10,2005,413089.625568678
11,2005,71863.078893729
12,2005,221845.634133421
1,2006,208332.913320558
2,2006,43627.8618021038
3,2006,191636.097252161
4,2006,108701.13895356
5,2006,202468.467456117
6,2006,229231.147469439
7,2006,213306.343508727
8,2006,810638.863728874
9,2006,1785536.89132852
10,2006,365515.869641535
11,2006,63800.0841239044
12,2006,201023.863514287
1,2007,212284.213842867
2,2007,44405.4918145551
3,2007,194290.652755429
4,2007,111826.477015413
5,2007,204458.193168714
6,2007,232862.079062091
7,2007,216381.751304265
8,2007,812836.764752824
9,2007,1810131.73303088
10,2007,369847.325305718
11,2007,64717.2269282239
12,2007,208312.207387654
1,2008,216235.50730922
2,2008,45183.1220772738
3,2008,196945.218061999
4,2008,114951.814448712
5,2008,206447.920600679
6,2008,236493.011723994
7,2008,219457.15379781
8,2008,815034.673640591
9,2008,1834726.60765787
10,2008,374178.781850811
11,2008,65634.3642517926
12,2008,215600.553084204
1,2009,220186.794757953
2,2009,45960.7519949395
3,2009,199599.780386852
4,2009,118077.147301865
5,2009,208437.641472647
6,2009,240123.934774215
7,2009,222532.557670735
8,2009,817232.538745042
9,2009,1859321.37101607
10,2009,378510.25121564
11,2009,66551.5097667815
12,2009,222888.888397387
1,2010,256234.138398331
2,2010,53761.6778619643
3,2010,230634.873134388
4,2010,139386.531099929
5,2010,240532.215850831
6,2010,278079.283238226
7,2010,262439.075044496
8,2010,944557.199072744
9,2010,2219354.5721672
10,2010,437870.619846952
11,2010,77103.6497593178
12,2010,263485.401743292
1,2011,228057.940569955
2,2011,47501.0503987343
3,2011,204731.870027854
4,2011,124565.163314326
5,2011,212146.026258438
6,2011,247235.894048129
7,2011,228507.07717638
8,2011,820264.906254985
9,2011,1906844.03726206
10,2011,386753.853420585
11,2011,68330.9952277707
12,2011,238406.10658714
1,2012,231977.799207364
2,2012,48263.7189771546
3,2012,207209.401526964
4,2012,127927.840091411
5,2012,213864.688882423
6,2012,250716.927196482
7,2012,231406.195471702
8,2012,821099.450586459
9,2012,1929771.90131227
10,2012,390666.011725654
11,2012,69193.3318689824
12,2012,246634.99342994
1,2013,235897.648436349
2,2013,49026.3876462033
3,2013,209686.926354853
4,2013,131290.515423633
5,2013,215583.343888146
6,2013,254197.949553001
7,2013,234305.306100854
8,2013,821933.926359118
9,2013,1952699.73646004
10,2013,394578.172806421
11,2013,70055.6718966742
12,2013,254863.866681217
1,2014,239817.489130306
2,2014,49789.0570544136
3,2014,212164.455661444
4,2014,134653.192328384
5,2014,217302.004906058
6,2014,257678.972935738
7,2014,237204.417747961
8,2014,822768.382719327
9,2014,1975627.56566996
10,2014,398490.312761965
11,2014,70918.0105578916
12,2014,263092.741087397
1,2015,278631.718215362
2,2015,58141.0297424055
3,2015,244765.77398014
4,2015,158620.820009958
5,2015,250388.237563616
6,2015,297927.029011441
7,2015,279083.558601792
8,2015,949413.415986104
9,2015,2354381.85552118
10,2015,460256.418897394
11,2015,82031.1056327456
12,2015,310509.92351142
