rgn_id,species_code,year,tonnes
1,1009,2009,5
1,1009,2010,112
1,1009,2011,111
1,1009,2012,145
1,1009,2013,150
1,188,1970,0
1,188,1971,0
1,188,1972,0
1,188,1973,0
1,188,1974,0
1,188,1975,0
1,188,1976,2
1,188,1977,7
1,188,1978,12
1,188,1979,18
1,188,1980,27
1,188,1981,41
1,188,1982,61
1,188,1983,89
1,188,1984,100
1,188,1985,150
1,188,1986,250
1,188,1987,535
1,188,1988,1282
1,188,1989,2973
1,188,1990,6000
1,188,1991,6045
1,188,1992,8500
1,188,1993,6594
1,188,1994,7602
1,188,1995,6948
1,188,1996,3874
1,188,1997,1243
1,188,1998,5103
1,188,1999,7816
1,188,2000,9650
1,188,2001,10000
1,188,2002,13000
1,188,2003,16503
1,188,2004,18040
1,188,2005,19000
1,188,2006,21600
1,188,2007,20300
1,188,2008,18400
1,188,2009,18100
1,188,2010,12576
1,188,2011,9410
1,188,2012,8900
1,188,2013,4545
1,653,1991,672
1,653,1992,932
1,653,1993,733
1,653,1994,1342
1,653,1995,1143
1,653,1996,1347
1,653,1997,5664
1,653,1998,2363
1,653,1999,1411
1,653,2000,1740
1,653,2001,2000
1,653,2002,1000
1,653,2003,0
1,653,2004,0
1,653,2005,0
1,653,2006,0
1,653,2007,0
1,653,2008,0
1,653,2009,0
1,653,2010,0
1,653,2011,0
1,653,2012,0
1,653,2013,0
2,1009,2009,5
2,1009,2010,112
2,1009,2011,111
2,1009,2012,145
2,1009,2013,150
2,188,1970,0
2,188,1971,0
2,188,1972,0
2,188,1973,0
2,188,1974,0
2,188,1975,0
2,188,1976,2
2,188,1977,7
2,188,1978,12
2,188,1979,18
2,188,1980,27
2,188,1981,41
2,188,1982,61
2,188,1983,89
2,188,1984,100
2,188,1985,150
2,188,1986,250
2,188,1987,535
2,188,1988,1282
2,188,1989,2973
2,188,1990,6000
2,188,1991,6045
2,188,1992,8500
2,188,1993,6594
2,188,1994,7602
2,188,1995,6948
2,188,1996,3874
2,188,1997,1243
2,188,1998,5103
2,188,1999,7816
2,188,2000,9650
2,188,2001,10000
2,188,2002,13000
2,188,2003,16503
2,188,2004,18040
2,188,2005,19000
2,188,2006,21600
2,188,2007,20300
2,188,2008,18400
2,188,2009,18100
2,188,2010,12576
2,188,2011,9410
2,188,2012,8900
2,188,2013,4545
2,653,1991,672
2,653,1992,932
2,653,1993,733
2,653,1994,1342
2,653,1995,1143
2,653,1996,1347
2,653,1997,5664
2,653,1998,2363
2,653,1999,1411
2,653,2000,1740
2,653,2001,2000
2,653,2002,1000
2,653,2003,0
2,653,2004,0
2,653,2005,0
2,653,2006,0
2,653,2007,0
2,653,2008,0
2,653,2009,0
2,653,2010,0
2,653,2011,0
2,653,2012,0
2,653,2013,0
3,1009,2009,5
3,1009,2010,112
3,1009,2011,111
3,1009,2012,145
3,1009,2013,150
3,188,1970,0
3,188,1971,0
3,188,1972,0
3,188,1973,0
3,188,1974,0
3,188,1975,0
3,188,1976,2
3,188,1977,7
3,188,1978,12
3,188,1979,18
3,188,1980,27
3,188,1981,41
3,188,1982,61
3,188,1983,89
3,188,1984,100
3,188,1985,150
3,188,1986,250
3,188,1987,535
3,188,1988,1282
3,188,1989,2973
3,188,1990,6000
3,188,1991,6045
3,188,1992,8500
3,188,1993,6594
3,188,1994,7602
3,188,1995,6948
3,188,1996,3874
3,188,1997,1243
3,188,1998,5103
3,188,1999,7816
3,188,2000,9650
3,188,2001,10000
3,188,2002,13000
3,188,2003,16503
3,188,2004,18040
3,188,2005,19000
3,188,2006,21600
3,188,2007,20300
3,188,2008,18400
3,188,2009,18100
3,188,2010,12576
3,188,2011,9410
3,188,2012,8900
3,188,2013,4545
3,653,1991,672
3,653,1992,932
3,653,1993,733
3,653,1994,1342
3,653,1995,1143
3,653,1996,1347
3,653,1997,5664
3,653,1998,2363
3,653,1999,1411
3,653,2000,1740
3,653,2001,2000
3,653,2002,1000
3,653,2003,0
3,653,2004,0
3,653,2005,0
3,653,2006,0
3,653,2007,0
3,653,2008,0
3,653,2009,0
3,653,2010,0
3,653,2011,0
3,653,2012,0
3,653,2013,0
