rgn_id,year,Ep
1,1989,0.0187876
1,1990,0.0191221
1,1991,0.0194701
1,1992,0.0221591
1,1993,0.0222794
1,1994,0.0197955
1,1995,0.0199355
1,1996,0.0215487
1,1997,0.0211392
1,1998,0.0203814
1,1999,0.0211289
1,2000,0.0215426
1,2001,0.0225733
1,2002,0.0211604
1,2003,0.0217409
1,2004,0.0232757
1,2005,0.0248385
1,2006,0.0264635
1,2007,0.0251365
1,2008,0.0238896
1,2009,0.0251081
1,2010,0.0237938
1,2011,0.0225801
1,2012,0.0229795
1,2013,0.0234479
2,1989,0.0187876
2,1990,0.0191221
2,1991,0.0194701
2,1992,0.0221591
2,1993,0.0222794
2,1994,0.0197955
2,1995,0.0199355
2,1996,0.0215487
2,1997,0.0211392
2,1998,0.0203814
2,1999,0.0211289
2,2000,0.0215426
2,2001,0.0225733
2,2002,0.0211604
2,2003,0.0217409
2,2004,0.0232757
2,2005,0.0248385
2,2006,0.0264635
2,2007,0.0251365
2,2008,0.0238896
2,2009,0.0251081
2,2010,0.0237938
2,2011,0.0225801
2,2012,0.0229795
2,2013,0.0234479
3,1989,0.0187876
3,1990,0.0191221
3,1991,0.0194701
3,1992,0.0221591
3,1993,0.0222794
3,1994,0.0197955
3,1995,0.0199355
3,1996,0.0215487
3,1997,0.0211392
3,1998,0.0203814
3,1999,0.0211289
3,2000,0.0215426
3,2001,0.0225733
3,2002,0.0211604
3,2003,0.0217409
3,2004,0.0232757
3,2005,0.0248385
3,2006,0.0264635
3,2007,0.0251365
3,2008,0.0238896
3,2009,0.0251081
3,2010,0.0237938
3,2011,0.0225801
3,2012,0.0229795
3,2013,0.0234479
