"rgn_id","year","count"
5,1988,195100
9,1988,195100
8,1988,195100
2,1988,195100
4,1988,195100
6,1988,195100
12,1988,195100
10,1988,195100
1,1988,195100
11,1988,195100
7,1988,195100
3,1988,195100
5,1989,189400
9,1989,189400
8,1989,189400
2,1989,189400
4,1989,189400
6,1989,189400
12,1989,189400
10,1989,189400
1,1989,189400
11,1989,189400
7,1989,189400
3,1989,189400
5,1990,195800
9,1990,195800
8,1990,195800
2,1990,195800
4,1990,195800
6,1990,195800
12,1990,195800
10,1990,195800
1,1990,195800
11,1990,195800
7,1990,195800
3,1990,195800
5,1991,205600
9,1991,205600
8,1991,205600
2,1991,205600
4,1991,205600
6,1991,205600
12,1991,205600
10,1991,205600
1,1991,205600
11,1991,205600
7,1991,205600
3,1991,205600
5,1992,241400
9,1992,241400
8,1992,241400
2,1992,241400
4,1992,241400
6,1992,241400
12,1992,241400
10,1992,241400
1,1992,241400
11,1992,241400
7,1992,241400
3,1992,241400
5,1993,252900
9,1993,252900
8,1993,252900
2,1993,252900
4,1993,252900
6,1993,252900
12,1993,252900
10,1993,252900
1,1993,252900
11,1993,252900
7,1993,252900
3,1993,252900
5,1994,236600
9,1994,236600
8,1994,236600
2,1994,236600
4,1994,236600
6,1994,236600
12,1994,236600
10,1994,236600
1,1994,236600
11,1994,236600
7,1994,236600
3,1994,236600
5,1995,247700
9,1995,247700
8,1995,247700
2,1995,247700
4,1995,247700
6,1995,247700
12,1995,247700
10,1995,247700
1,1995,247700
11,1995,247700
7,1995,247700
3,1995,247700
5,1996,271500
9,1996,271500
8,1996,271500
2,1996,271500
4,1996,271500
6,1996,271500
12,1996,271500
10,1996,271500
1,1996,271500
11,1996,271500
7,1996,271500
3,1996,271500
5,1997,279100
9,1997,279100
8,1997,279100
2,1997,279100
4,1997,279100
6,1997,279100
12,1997,279100
10,1997,279100
1,1997,279100
11,1997,279100
7,1997,279100
3,1997,279100
5,1998,273000
9,1998,273000
8,1998,273000
2,1998,273000
4,1998,273000
6,1998,273000
12,1998,273000
10,1998,273000
1,1998,273000
11,1998,273000
7,1998,273000
3,1998,273000
5,1999,279400
9,1999,279400
8,1999,279400
2,1999,279400
4,1999,279400
6,1999,279400
12,1999,279400
10,1999,279400
1,1999,279400
11,1999,279400
7,1999,279400
3,1999,279400
5,2000,296800
9,2000,296800
8,2000,296800
2,2000,296800
4,2000,296800
6,2000,296800
12,2000,296800
10,2000,296800
1,2000,296800
11,2000,296800
7,2000,296800
3,2000,296800
5,2001,347500
9,2001,347500
8,2001,347500
2,2001,347500
4,2001,347500
6,2001,347500
12,2001,347500
10,2001,347500
1,2001,347500
11,2001,347500
7,2001,347500
3,2001,347500
5,2002,338300
9,2002,338300
8,2002,338300
2,2002,338300
4,2002,338300
6,2002,338300
12,2002,338300
10,2002,338300
1,2002,338300
11,2002,338300
7,2002,338300
3,2002,338300
5,2003,369000
9,2003,369000
8,2003,369000
2,2003,369000
4,2003,369000
6,2003,369000
12,2003,369000
10,2003,369000
1,2003,369000
11,2003,369000
7,2003,369000
3,2003,369000
5,2004,394000
9,2004,394000
8,2004,394000
2,2004,394000
4,2004,394000
6,2004,394000
12,2004,394000
10,2004,394000
1,2004,394000
11,2004,394000
7,2004,394000
3,2004,394000
5,2005,422000
9,2005,422000
8,2005,422000
2,2005,422000
4,2005,422000
6,2005,422000
12,2005,422000
10,2005,422000
1,2005,422000
11,2005,422000
7,2005,422000
3,2005,422000
5,2006,443000
9,2006,443000
8,2006,443000
2,2006,443000
4,2006,443000
6,2006,443000
12,2006,443000
10,2006,443000
1,2006,443000
11,2006,443000
7,2006,443000
3,2006,443000
5,2007,432800
9,2007,432800
8,2007,432800
2,2007,432800
4,2007,432800
6,2007,432800
12,2007,432800
10,2007,432800
1,2007,432800
11,2007,432800
7,2007,432800
3,2007,432800
5,2008,416100
9,2008,416100
8,2008,416100
2,2008,416100
4,2008,416100
6,2008,416100
12,2008,416100
10,2008,416100
1,2008,416100
11,2008,416100
7,2008,416100
3,2008,416100
5,2009,462400
9,2009,462400
8,2009,462400
2,2009,462400
4,2009,462400
6,2009,462400
12,2009,462400
10,2009,462400
1,2009,462400
11,2009,462400
7,2009,462400
3,2009,462400
5,2010,458700
9,2010,458700
8,2010,458700
2,2010,458700
4,2010,458700
6,2010,458700
12,2010,458700
10,2010,458700
1,2010,458700
11,2010,458700
7,2010,458700
3,2010,458700
5,2011,435200
9,2011,435200
8,2011,435200
2,2011,435200
4,2011,435200
6,2011,435200
12,2011,435200
10,2011,435200
1,2011,435200
11,2011,435200
7,2011,435200
3,2011,435200
5,2012,438400
9,2012,438400
8,2012,438400
2,2012,438400
4,2012,438400
6,2012,438400
12,2012,438400
10,2012,438400
1,2012,438400
11,2012,438400
7,2012,438400
3,2012,438400
5,2013,457500
9,2013,457500
8,2013,457500
2,2013,457500
4,2013,457500
6,2013,457500
12,2013,457500
10,2013,457500
1,2013,457500
11,2013,457500
7,2013,457500
3,2013,457500
