"r0","r1","r2","id","w","v","r2_v","r1_v","r0_v","r2_w_avg","r1_w_avg","r0_w_avg","r2_n","r1_n","r0_n","r2_n_notna","r1_n_notna","r0_n_notna","z_level","z_ids","z_w_avg","z_n","z_n_pct","z_g_score","z"
1,419,5,1,23107343.6279861,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,23107343.6279861,23107343.6279861,23107343.6279861,12,12,12,12,12,12,"v","1",23107343.6279861,1,1,0,1.39864811249946e-05
1,419,5,2,23107343.6279861,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,23107343.6279861,23107343.6279861,23107343.6279861,12,12,12,12,12,12,"v","2",23107343.6279861,1,1,0,1.39864811249946e-05
1,419,5,3,23107343.6279861,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,23107343.6279861,23107343.6279861,23107343.6279861,12,12,12,12,12,12,"v","3",23107343.6279861,1,1,0,1.39864811249946e-05
1,419,5,4,23107343.6279861,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,23107343.6279861,23107343.6279861,23107343.6279861,12,12,12,12,12,12,"v","4",23107343.6279861,1,1,0,1.39864811249946e-05
1,419,5,5,23107343.6279861,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,23107343.6279861,23107343.6279861,23107343.6279861,12,12,12,12,12,12,"v","5",23107343.6279861,1,1,0,1.39864811249946e-05
1,419,5,6,23107343.6279861,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,23107343.6279861,23107343.6279861,23107343.6279861,12,12,12,12,12,12,"v","6",23107343.6279861,1,1,0,1.39864811249946e-05
1,419,5,7,23107343.6279861,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,23107343.6279861,23107343.6279861,23107343.6279861,12,12,12,12,12,12,"v","7",23107343.6279861,1,1,0,1.39864811249946e-05
1,419,5,8,23107343.6279861,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,23107343.6279861,23107343.6279861,23107343.6279861,12,12,12,12,12,12,"v","8",23107343.6279861,1,1,0,1.39864811249946e-05
1,419,5,9,23107343.6279861,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,23107343.6279861,23107343.6279861,23107343.6279861,12,12,12,12,12,12,"v","9",23107343.6279861,1,1,0,1.39864811249946e-05
1,419,5,10,23107343.6279861,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,23107343.6279861,23107343.6279861,23107343.6279861,12,12,12,12,12,12,"v","10",23107343.6279861,1,1,0,1.39864811249946e-05
1,419,5,11,23107343.6279861,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,23107343.6279861,23107343.6279861,23107343.6279861,12,12,12,12,12,12,"v","11",23107343.6279861,1,1,0,1.39864811249946e-05
1,419,5,12,23107343.6279861,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,1.39864811249946e-05,23107343.6279861,23107343.6279861,23107343.6279861,12,12,12,12,12,12,"v","12",23107343.6279861,1,1,0,1.39864811249946e-05
